Question,Answer
"Phong trào trồng cây ""nhân dân làm theo lời Hồ Chủ tịch"" được phát động bởi ai?","Phong trào trồng cây ""nhân dân làm theo lời Hồ Chủ tịch"" được phát động bởi Thủ tướng Phạm Văn Đồng. Ông đã thay mặt Chính phủ về dự và chính thức phát động phong trào này. Phong trào được phát động tại Hội nghị tổng kết phong trào Hợp tác hóa nông nghiệp của tỉnh Vĩnh Phúc vào cuối năm 1959."
Thôn Lạc Trung đã được tặng huân chương gì?,Thôn Lạc Trung đã được tặng Huân chương Lao động hạng Ba. Thôn Lạc Trung dẫn đầu toàn xã về số lượng cây nhiều và tươi tốt. Lạc Trung trở thành lá cờ đầu của phong trào trồng cây ở vùng đồng bằng.
Những công trình nào thuộc khu di tích lưu niệm về sự kiện Bác Hồ về thăm Lạc Trung?,"Khu di tích lưu niệm về sự kiện Bác Hồ về thăm Lạc Trung bao gồm: cây đa lưu niệm do Hội nghị ngành Lâm nghiệp toàn quốc trồng năm 1959, ao cá Bác Hồ, vườn cây Bác Hồ trồng những cây ăn quả quý và những cây lưu niệm. Ngoài ra còn có ngôi nhà kho 5 gian, nơi đồng chí Trường Chinh gặp gỡ cán bộ xã viên Lạc Trung tết năm 1962."
Ngôi nhà kho 5 gian ở Lạc Trung hiện nay được dùng làm gì?,"Ngôi nhà kho 5 gian ở Lạc Trung hiện nay được dùng làm nơi trưng bày hiện vật, tài liệu, hình ảnh theo chủ đề “Bác Hồ và các đồng chí Lãnh tụ với Lạc Trung, Bình Dương”. Ngôi nhà kho này là nơi đồng chí Trường Chinh gặp gỡ cán bộ xã viên Lạc Trung tết năm 1962."
Khu lưu niệm Bác Hồ ở Lạc Trung có ý nghĩa như thế nào?,"Khu lưu niệm Bác Hồ ở Lạc Trung có ý nghĩa to lớn trong hệ thống di tích lưu niệm về Bác trên đất Vĩnh Phúc. Khu lưu niệm là nơi ghi dấu ấn sâu sắc, thiêng liêng về vị lãnh tụ vĩ đại của dân tộc, đồng thời cũng ghi lại trang sử vẻ vang của địa phương. Nơi đây sớm hưởng ứng phong trào “Tết trồng cây” do Bác Hồ phát động và đã trở thành lá cờ đầu về thành tích trồng cây vùng đồng bằng."
Hồ Điển Triệt tọa lạc tại vị trí nào?,"Hồ Điển Triệt nằm bên bờ sông Lô thuộc xã Tứ Yên, huyện Sông Lô. Hồ Điển Triệt còn có tên gọi khác là hồ Miêng. Nơi đây mang nhiều dấu ấn lịch sử."
Hồ Điển Triệt có tên gọi khác là gì?,Hồ Điển Triệt còn có tên gọi khác là hồ Miêng. Có tài liệu ghi hồ Miêng chính là Đầm Vạc. Hồ được thông với dòng chảy của sông Lô.
Những sự kiện lịch sử quan trọng đã diễn ra tại hồ Điển Triệt?,"Hồ Điển Triệt là nơi diễn ra cuộc chiến đấu ác liệt của quân và dân ta dưới sự lãnh đạo của Lý Bí chống lại quân xâm lược nhà Lương. Lý Bí đã bị đánh bất ngờ và thua trận do nước sông Lô đột ngột dâng cao, khiến quân Lương tiến vào hồ. Sau thất bại, Lý Bí phải chạy vào động Khuất Lão và trao binh quyền lại cho Triệu Quang Phục."
Chi tiết về lễ hội Bơi Chải?,"Lễ hội Bơi Chải được tổ chức vào ngày 25, 26, 27 tháng 5 âm lịch hàng năm tại xã Tứ Yên, huyện Sông Lô. Lễ hội này được tổ chức để tưởng nhớ công ơn của vua Lí Bí. Lễ hội Bơi Chải đã ngừng tổ chức từ năm 1946 do chiến tranh."
Miếu Đậu có kiến trúc như thế nào?,"Miếu Đậu có mặt bằng theo kiểu chữ ""công"" gồm 3 tòa: tiền tế 5 gian, hậu cung 5 gian và 1 gian ống muống. Miếu có quy mô khá đồ sộ nhưng vẫn rất gọn gàng, kiểu dáng đẹp. Mái gian giữa tòa tiền tế và gian giữa tòa hậu cung."
Lễ hội mùng 3 tháng Giêng được tổ chức ở đâu?,Lễ hội mùng 3 tháng Giêng được tổ chức ở miếu Đậu. Lễ hội này mang tính chất hàng xã vì dân 5 làng Tích Sơn theo truyền thống cùng tham gia.
Lễ hội mùng 3 tháng Giêng còn được gọi là gì?,Lễ hội mùng 3 tháng Giêng còn được gọi là tiệc khao quân. Đây là lễ hội lớn nhất và chính hội trong năm. Lễ hội này mô phỏng sự kiện Thất vị Đại vương.
Lễ hội mùng 3 tháng Giêng mô phỏng sự kiện gì?,Lễ hội mùng 3 tháng Giêng được tổ chức ở miếu Đậu. Lễ hội mang tính chất hàng xã vì dân 5 làng Tích Sơn theo truyền thống cùng tham gia. Lễ hội có nhiều nghi thức và trò diễn ý nghĩa diễn ra liên tục và sôi nổi trong suốt cuộc lễ.
Ngôi chùa này thờ ai?,"Trước đây, trong chùa còn có bát hương thờ Thạch Sanh. Ngôi chùa được xây dựng cách ngày nay gần 200 năm."
Ngôi đền này tọa lạc tại vị trí nào?,"Đền Kỳ Sầm tọa lạc trên một quả đồi thấp, sát chân núi Khau Sầm thuộc thôn Bản Ngần, xã Vĩnh Quang. Đền Mẫu tọa lạc bên hữu ngạn sông Chảy, mặt hướng ra sông theo hướng Đông Đông bắc. Đền Bà hay còn gọi là đền Vị Thanh được xây dựng trên một khu đất cao, rộng và thoáng đãng ven đầm Vạc, nay thuộc thôn Vị Thanh, xã Thanh Trù, thành phố Vĩnh Yên."
Ngôi đền này có kiến trúc gì đặc biệt?,"Đền Đại Cại có kiến trúc đặc biệt thể hiện ở sự hài hoà giữa kiến trúc và tổng thể cảnh quan thiên nhiên, không gian đồi núi xung quanh. Bên trong đền, có đầy đủ các đồ thờ tự và các chi tiết chạm trổ tứ quý được tạo ra từ các loại gỗ quý. Điều đặc biệt ở ngôi đền này là sự chạm trổ trên các tảng đá kê cột đình và cột đền, mang những hình mặt trăng, lá đề, hoa sen độc đáo."
Ngôi đền này tổ chức lễ hội vào ngày nào?,"Đền Bảo Hà có 4 dịp lễ thu hút nhiều du khách, trong đó những ngày lễ chính là: Lễ thượng nguyên (Rằm tháng Giêng), lễ tiệc quan tuần tranh (25 tháng 5 Âm lịch), ngày giỗ ông Hoàng Bảy (17). Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội Đền Đại Cại diễn ra trong hai ngày, ngày lễ chính diễn ra vào rằm tháng giêng."
"Ngôi đền này có những bảo vật, hiện vật quý giá nào?","Ngôi đền lưu giữ nhiều di vật, hiện vật quý hiếm với đa dạng chất liệu, cùng các thư tịch Hán Nôm cổ như hoành phi, câu đối, sắc phong. Theo thống kê có 50 hiện vật bằng chất liệu gỗ, đồng, sứ, sành và giấy có niên đại thế kỷ 16 – 19. Bên trong đền, có đầy đủ các đồ thờ tự như bát nhang đồng, chiêng và chuông đồng, ngai thờ sơn son thếp vàng, và các chi tiết chạm trổ tứ quý được tạo ra từ các loại gỗ quý."
"Ngôi đền này có những gian, tòa nào?","Ngôi đền này có tiền tế (5 gian), toà trung tế 3 gian nằm song song và kề bờ mái với toà tiền tế, hậu cung 3 gian nối với trung tế theo hình chữ “đinh”. Tổng diện tích xây dựng của đền lên tới 600m2. Kiến trúc đền không lớn nhưng chắc khoẻ."
Chi tiết về lễ hội tại ngôi đền này?,"Đền Bảo Hà có 4 dịp lễ thu hút nhiều du khách, trong đó có lễ Thượng Nguyên (Rằm tháng Giêng) và lễ tiệc quan tuần tranh (25 tháng 5 Âm lịch). Lễ hội đền Bà Hoàng được tổ chức vào ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội thể hiện lòng thành kính với Bà Hoàng Đại Vương và cầu mong cuộc sống an lành, may mắn."
Thiền viện Trúc lâm Tây Thiên tọa lạc tại vị trí nào?,"Thiền viện Trúc lâm Tây Thiên tọa lạc tại thôn Đền Thõng, xã Đại Đình, huyện Tam Đảo, tỉnh Vĩnh Phúc. Thiền viện nằm trên quả đồi rộng 4,5 ha, cao 300 m so với mực nước biển. Phía trước là cánh đồng rộng, phía sau là rừng thông u tịch."
Thiền viện Trúc lâm Tây Thiên có kiến trúc gì đặc biệt?,"Thiền viện Trúc lâm Tây Thiên là một công trình kiến trúc hoành tráng, nguy nga, mang dấu ấn về kiến trúc, thẩm mỹ học Phật giáo. Kiến trúc tránh được sự sao chép một cách máy móc theo những ngôi chùa cổ Việt Nam ở thế kỷ 16 - 17 mà mang tính truyền thống hài hoà với hiện đại. Tam Quan và đỉnh hương đặt trước chính điện bằng đá Thanh Hóa."
Thiền viện Trúc lâm Tây Thiên được xây dựng trên nền móng của ngôi chùa nào?,Thiền viện Trúc lâm Tây Thiên được xây dựng trên nền móng cũ của Thiên ân Thiền Tự. Đây là một đại danh lam thời Lý Trần.
"Thiền viện Trúc lâm Tây Thiên có những gian, tòa nào?","Dữ liệu không cung cấp thông tin chi tiết về các gian và tòa cụ thể của Thiền viện Trúc lâm Tây Thiên. Tuy nhiên, có đề cập đến Tam Quan, chính điện và đỉnh hương đặt trước chính điện. Chính điện có chiều cao 17 m, rộng 675 m2."
Diện tích của toà chính điện Thiền viện Trúc lâm Tây Thiên là bao nhiêu?,"Toà chính điện cao 17m, với diện tích 673,2m2 (20,4 x 33m). Chính điện có chiều cao 17 m, rộng 675 m2. Bên trong chỉ có 4 cây cột đỡ mái, nên rộng thoáng như một hội trường, có không gian cao rộng, sáng sủa, trang nghiêm."
Thiền viện Trúc lâm Tây Thiên thờ ai?,"Tôi xin lỗi, đoạn văn không đề cập đến việc Thiền viện Trúc lâm Tây Thiên thờ ai."
Đền Bà có tên gọi khác là gì?,Đền Bà còn được gọi là đền Vị Thanh. Đền Bà còn được gọi là Đền Mẫu Thác Bà. Đền Bà được xây dựng để thờ vị nữ tướng Thanh Nương.
Đền Bà được xây dựng từ khi nào?,"Đền Bà được xây dựng vào thời Nguyễn, khoảng cuối thế kỷ XIX. Đền còn có tên gọi khác là đền Vị Thanh. Từ khi xây dựng đến nay, đền chưa phải đại tu lần nào."
Đền Bà xây dựng vào thời đại nào?,"Đền Bà được xây dựng vào thời Nguyễn, khoảng cuối thế kỷ XIX. Đền còn có tên gọi khác là đền Vị Thanh. Đền được xây dựng trên một khu đất cao, rộng và thoáng đãng ven đầm Vạc."
Đền Bà có kiến trúc gì đặc biệt?,"Đền Bà được xây dựng theo kiểu chữ ""công"" với 3 tòa kiến trúc: tiền tế, ống và hậu cung. Đền có 32 cột gỗ chắc khỏe, chân cột kê đá chống ẩm và mối mọt. Mái của tòa ống muống và hậu cung làm theo kiểu chồng diêm và được lợp ngói mũi truyền thống."
Đền Bà tổ chức lễ hội vào ngày nào?,"Đền Bà Hoàng tổ chức lễ hội hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Đền Mẫu Thác Bà có 3 lễ hội chính: Lễ hội mùa xuân ngày mùng 9 tháng Giêng, Lễ hội mùa hè ngày 17 tháng 5 và Lễ hội mùa thu ngày 10 tháng 10 (âm lịch). Lễ hội đền Bà còn lưu giữ được lễ hội tế trâu diễn ra vào ngày 13, 14, 15/10 âm lịch."
Đền Bà tọa lạc tại vị trí nào?,"Đền Bà hay còn gọi là đền Vị Thanh, nằm ở thôn Vị Thanh, xã Thanh Trù, thành phố Vĩnh Yên. Đền được xây dựng trên một khu đất cao, rộng và thoáng đãng ven đầm Vạc. Ngôi đền hiện lên thâm nghiêm, cổ kính giữa bình yên của ruộng đồng và làng xóm."
Đền Bà thờ ai?,"Đền Bà còn được gọi là đền Vị Thanh. Ngôi đền thờ Đức Thánh Bà Quách A Nương, một nữ tướng tài của Hai Bà Trưng. Đền còn thờ Chiêu Văn Vương Trần Nhật Duật, con trai thứ 6 của Trần Thái Tông."
"Đền Bà có những bảo vật, hiện vật quý giá nào?","Đền Bà có 4 bộ long ngai và các bức hoành phi, câu đối chữ Hán, là những cổ vật quý, được gia cố công phu, trang trí cầu kỳ. Đền còn lưu giữ những giá trị văn hóa phi vật thể tiêu biểu, trong đó độc đáo nhất là lễ hội tế trâu diễn ra vào ngày 13, 14, 15/10 âm lịch."
Chi tiết về lễ hội đền Bà?,"Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội vừa thể hiện lòng thành kính với Bà Hoàng Đại Vương, vừa mang tính chất cầu mùa, cầu phúc, mong bà ban cho cuộc sống an lành, may mắn. Để chuẩn bị cho ngày hội, nhân dân trong vùng tự giác đóng góp mỗi nhà một bơ gạo, ít tiền mua hương, hoa, tổ chức nghi lễ."
Đền Bạch Trì tọa lạc tại vị trí nào?,"Đền Bạch Trì tọa lạc trọn vẹn trên một quả đồi có tên đồi Rừng đền, diện tích khoảng 3ha, cao hơn mặt ruộng xung quanh 30 - 40m. Phía trước đền (hướng Nam) là dòng Sơn Tang (tức sông Phan). Đền ở thôn Long Trì, thị trấn Hợp Hoà, huyện Tam Dương, nằm cách quốc lộ 2B (đi Sơn Dương - Tuyên Quang) 1km, cách ngã ba Tam Dương 7km."
Diện tích của đền Bạch Trì là bao nhiêu?,"Diện tích mặt bằng kiến trúc của đền Bạch Trì là 76m2. Đền tọa lạc trên đồi Rừng đền rộng khoảng 3ha, cao hơn mặt ruộng 30-40m. Đền sẽ được quy hoạch, tôn tạo thành trọng điểm di tích danh thắng của huyện Tam Dương."
Đền Bạch Trì thờ ai?,"Đền Bạch Trì thờ Đức Thánh Bà Quách A Nương, một nữ tướng tài của Hai Bà Trưng có tên hiệu là Khâu Ni công chúa. Bà là một người con của vùng quê Bạch Hạc. Bà đã hưởng ứng lời hiệu triệu của Hai Bà Trưng, cùng các chị em dựng cờ khởi nghĩa đánh đuổi quân Hán dành độc lập."
Đền Bạch Trì có kiến trúc gì đặc biệt?,"Đền Bạch Trì có kiến trúc 3 gian thờ dọc, 2 gian ngoài là tiền tế, gian trong cùng bố trí thượng cung. Kết cấu vì kèo theo dạng thức “chồng rường giá chiêng”, gồm 5 bộ vì, 4 hàng chân (20 cột gỗ lim) kê trên đá tảng. Kiến trúc nhỏ đáp ứng nhu cầu sử dụng phù hợp với địa bàn dân cư thưa thớt."
"Đền Bạch Trì có những gian, tòa nào?","Đền Bạch Trì có kiến trúc 3 gian thờ dọc. Hai gian ngoài là tiền tế, gian trong cùng bố trí thượng cung. Thượng cung bưng ván xung quanh, phía mặt tiền có cửa võng."
Đền Bạch Trì được xây dựng từ vật liệu nào?,Đền Bạch Trì được xây dựng từ gỗ lim và đá tảng. Các cột gỗ lim được kê trên đá tảng để tạo thế vững chãi cho ngôi đền.
Đền Phú Đa tọa lạc tại vị trí nào?,"Đền Phú Đa toạ lạc trên cánh đồng xóm Giếng, xã Phú Hoa, tổng Tang Thác, huyện Tiên Phong, phủ Quảng Oai, trấn Sơn Tây. Nay thuộc xã Phú Đa, huyện Vĩnh Tường, tỉnh Vĩnh Phúc. Vị trí đền ở giữa vùng chiêm trũng, giáp sông Hồng."
Đền Phú Đa thờ ai?,"Đền Phú Đa thờ “Lãng Phương hầu Nguyễn Danh Thường, Tiên phong đặc tiến, phụ quốc Thượng tướng quân, tham mưu trung quân Đô Đốc phủ, Khâm sai kiểm sát thất thành”. Thời Lê - Trịnh, vì có công giúp triều đình ông được xây dựng đền từ lúc còn sống (sinh từ) để thờ mình. Đền làm thời vua Lê Hiển Tông, niên hiệu Cảnh Hưng (1740 - 1786)."
Đền Phú Đa được xây dựng từ khi nào?,"Đền Phú Đa được xây dựng thời vua Lê Hiển Tông, niên hiệu Cảnh Hưng (1740 - 1786). Từ ngày xây dựng đến nay đền chưa phải đại tu lần nào. Đền thờ “Lãng Phương hầu Nguyễn Danh Thường."
Đền Phú Đa có kiến trúc gì đặc biệt?,"Đền Phú Đa có 3 toà kiến trúc (cổng đền, đại bái, từ đường) bố cục theo kiểu chữ “Tam”. Các toà của đền đều có kết cấu kiến trúc kiểu tứ trụ lòng thuyền, vừa đẹp lại khoẻ. Phần lớn kiến trúc đền Phú Đa đều được bào trơn, đóng bén, mộng sàm chặt khít, kể cả các rui trên mái cũng được bào nhẵn theo mực thước và soi đường gờ ở mép."
"Đền Phú Đa có những gian, tòa nào?","Đền Phú Đa có 3 toà kiến trúc là cổng đền, đại bái, từ đường bố cục theo kiểu chữ “Tam”. Trước đây còn có 2 toà tả, hữu mạc, về sau được chuyển đến địa điểm khác để làm trường học. Các toà của đền đều có kết cấu kiến trúc kiểu tứ trụ lòng thuyền, vừa đẹp lại khoẻ."
Đền Phú Đa được xây dựng từ vật liệu nào?,Toàn bộ vật liệu làm đền đều bằng gỗ lim. Gỗ lim được kén chọn cẩn thận cả về kích thước và độ già của gỗ.
"Về mỹ thuật trang trí tạo hình, đền Phú Đa có những di vật gì?","Đền Phú Đa có những di vật chạm khắc đá phản ánh thành công nổi bật và trình độ cao về nghệ thuật chạm khắc, trang trí dân gian trên đá thời Lê mạt. Các nghệ nhân xưa đã biết căn cứ vào chất liệu và màu sắc của đá để vận dụng và tận dụng chúng trong tạo hình cũng như trang trí nội thất kiến trúc. Với kỹ thuật chạm khắc tinh vi điêu luyện, với những đề tài thực trong cuộc sống, chạm khắc đá ở đền Phú Đa đã tạo nên cho di tích không khí vừa độ trang nghiêm."
Đền Bắc Cung có tên gọi khác là gì?,"Đền Bắc Cung còn có tên gọi nôm là đền Thính. Đền thờ đức thánh Tản Viên. Đền thuộc xã Tam Hồng, huyện Yên Lạc."
Đền Thính thờ ai?,Đền Thính thờ đức thánh Tản Viên. Đền còn có tên gọi khác là đền Bắc Cung. Đền là một trong bốn cung đền lớn ở quanh vùng núi Ba Vì và châu thổ sông Hồng.
Đền Thính tọa lạc tại vị trí nào?,"Đền Thính tọa lạc tại xã Tam Hồng, huyện Yên Lạc. Đền nằm giữa cánh đồng màu mỡ trên khu đất rộng 10.000m2. Đền tựa mình bên những con sông."
Đền Thính được xây dựng từ khi nào?,"Đền Thính được khởi dựng cách đây 20 thế kỷ trên nền một ngôi miếu nhỏ thờ đức thánh Tản. Từ một ngôi miếu nhỏ, đến đời vua Lý Thần Tông (1072-1128) miếu được xây lại thành đền lớn. Công trình kéo dài đến đời Khải Định thứ 6 mới xong (1900-1921)."
Đền Thính được xây dựng từ vật liệu nào?,"Tôi xin lỗi, thông tin này không có trong văn bản. Văn bản chỉ cung cấp thông tin về lịch sử và lễ hội của đền Thính."
