Question,Answer
Đình Thánh thờ ai?,Đình Thánh ngoài thờ Thần Nông thì nơi đây là cơ sở thờ tự một vị tướng quân triều đình có công dẹp loạn để yên dân đã bị tử trận tại địa bàn Phủ Thông.
Đình Thánh tổ chức lễ hội vào ngày nào?,Ngày tổ chức lễ giỗ tại đình nhằm ngày 20 tháng Giêng âm lịch hằng năm - đúng vào ngày vị tướng bị tử trận.
Chi tiết về lễ hội Đình Thánh?,"Lễ, hội Phủ Thông diễn ra trong ba ngày (nguyên bản). Ngày 19 tháng Giêng tổ chức lễ nghi, rước kiệu Sắc Thần Phả. Phần hội diễn ra suốt đêm 19, cả ngày 20 và kết thúc vào nửa ngày 21 với các hoạt động hát lượn, thưởng thức ẩm thực, chơi trò chơi dân gian."
Những sự kiện lịch sử quan trọng đã diễn ra tại Đình Thánh?,"Thời loạn lạc giặc cỏ khoảng thế kỷ XVIII, triều đình đã phái một đạo quân lên trấn ải khu vực Phủ Thông, và viên tướng chỉ huy quân triều đình đã tử trận trong một trận quyết chiến tại cánh đồng Nà Phải."
"Ai là người sáng lập, đứng đầu đầu tiên của Đình Thánh?",Nhân dân địa phương đã xây cất một ngôi đình bằng gỗ bề thế để hương khói thờ cúng người anh hùng đã hy sinh.
Đình Thánh có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Nhân dân địa phương đã tôn vinh vị tướng như vị thánh thần để thờ, mong Ngài phù hộ cho sự an lành. Đình Thánh cũng là thời gian, địa điểm để tổ chức lễ hội Xuân Phủ Thông."
Chùa Phố Cũ tọa lạc tại vị trí nào?,"Chùa Phố Cũ tọa lạc giáp 3 mặt đường phố, nằm gần cuối đường Phố Cũ, phường Hợp Giang (Thành phố Cao Bằng)."
Chùa Phố Cũ được xây dựng từ khi nào?,"Chùa Phố Cũ bắt đầu từ một ngôi miếu nhỏ được dựng lên vào đời vua Lê Hy Tông, niên hiệu Vĩnh Trị thứ 3 năm 1679."
Chùa Phố Cũ thờ ai?,"Chùa Phố Cũ thờ “Tiền thánh, hậu Phật”. Hiện tại, chùa thờ tượng Quan Thánh Đế Quân, tượng Văn Xương Đế Quân, các vị Nhị Thập Bát Tú, Hiếu Khương Hoàng Hậu, Đức Thánh Trần, Ngọc Hoàng Thượng đế, các vị thần thiên đình và hạ giới, Đức Thánh hiền, Đức Ông, Phật Tam Thế Chương Phật, Phật A Di Đà, Phật Thích Ca Mâu Ni, A Nan Tôn Giả, Ca Diếp Tôn Giả."
Từng gian ở chùa Phố Cũ thờ ai?,"Gian bên phải thờ các vị Nhị Thập Bát Tú, bàn thờ của Hiếu Khương Hoàng Hậu, bàn thờ Đức Thánh Trần. Tại gian chính cung, ở giữa là bệ thờ Ngọc Hoàng Thượng đế, các vị thần thiên đình và hạ giới; bên trái thờ Đức Thánh hiền, bên phải thờ Đức Ông. Hậu cung thờ Phật Tam Thế Chương Phật, Phật A Di Đà, Phật Thích Ca Mâu Ni, A Nan Tôn Giả, Ca Diếp Tôn Giả."
Chi tiết về các lần tu sửa?,"Thời nhà Nguyễn, khởi đầu từ vua Gia Long (1802 - 1820) đến các vị vua kế tiếp, miếu được sửa sang, xây dựng lại theo phong cách mới và được gọi là chùa. Năm 1945, nhân dân địa phương quyên góp trùng tu, xây thêm lầu ở hai cung chính, kiến trúc hoa văn kiểu hoa thị, đắp rồng chầu thời nhà Nguyễn."
"Chi tiết về các bảo vật, hiện vật?","Chùa còn lưu lại được 5 tấm bia đá, gồm: bia Gia Long (1814), bia Minh Mạng (1825), bia Tự Đức (1858), bia Tự Đức (1876), bia Thành Thái (1893) ghi lại công đức tu sửa chùa. Sau chiến tranh năm 1979, một số đồ thờ được chuyển đến đền Ngọc Thanh, còn lại được giữ tại chùa như: hương án cao 1,2 m, dài 1,85 m, rộng 1,6 m được sơn son thiếp vàng, có chạm trổ mặt hổ và các vân xoắn; ngai thờ chạm đầu rồng, tay kiệu, lâu, bài vị, mâm bồng, cây nến và một số hiện vật bằng sứ (bát hương, lọ hoa)."
Chi tiết về lễ hội chùa Phố Cũ?,"Lễ hội chùa Phố Cũ được tổ chức vào ngày 2/2 âm lịch hằng năm. Nhân dân địa phương tổ chức rước kiệu, mổ bò, mổ lợn dâng hương tế lễ; có năm còn bày mâm ăn uống chung làm cho không khí hội chùa đầu xuân càng thêm tưng bừng, đoàn kết, đông vui."
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Phố Cũ?,"Tại chùa Phố Cũ, ngày 22/8/1945, đông đảo nhân dân các dân tộc thị xã Cao Bằng tuần hành, thị uy, biểu dương lực lượng cách mạng trên các trục đường phố, sau đó hội tụ về sân chùa tổ chức cuộc mít tinh rầm rộ với quy mô lớn để làm lễ công bố ra mắt UBND lâm thời tỉnh Cao Bằng và thành lập UBND lâm thời Thị xã."
Chùa Phố Cũ có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Phố Cũ là nơi nhân dân địa phương đến dâng hương cầu phúc, cầu lộc. Chùa còn mang giá trị lịch sử cách mạng, là nơi diễn ra sự kiện chính trị trọng đại lật đổ tầng lớp thống trị tay sai, phong kiến, thực dân, giành chính quyền về tay nhân dân."
Chùa Phố Cũ được xếp hạng di tích lịch sử cấp nào?,Chùa được Nhà nước xếp hạng di tích lịch sử văn hóa cấp tỉnh ngày 31/12/2002.
Chùa Sùng Phúc có tên gọi khác là gì?,Chùa Sùng Phúc còn có tên là Sùng Phúc tự.
Chùa Sùng Phúc được xây dựng từ khi nào?,Chùa Sùng Phúc ban đầu được xây dựng từ thời vua Trần Nhân Tông (1279 - 1293).
Chùa Sùng Phúc xây dựng vào thời đại nào?,Chùa Sùng Phúc ban đầu được xây dựng vào thời nhà Trần.
Chùa Sùng Phúc có kiến trúc gì đặc biệt?,"Chùa có kiến trúc hình chữ nhị, được xây dựng bằng gạch, mái lợp ngói máng, hoa văn trang trí đơn giản mang dấu ấn nhà Lê."
Chùa Sùng Phúc tổ chức lễ hội vào ngày nào?,Lễ hội chùa Sùng Phúc được tổ chức vào ngày 15 đến hết ngày 16 tháng Giêng âm lịch hằng năm.
Chùa Sùng Phúc đã qua bao nhiêu lần tu sửa?,Chùa Sùng Phúc được tu tạo nhiều lần.
Chùa Sùng Phúc tọa lạc tại vị trí nào?,Chùa Sùng Phúc thuộc thị trấn Thanh Nhật (Hạ Lang).
Chùa Sùng Phúc thờ ai?,"Chùa thờ Phật giáo, gian hậu cung có tượng Phật Quan Âm. Gian tiền đường thờ thần nàng Vi Đồ, chính là bà Nguyễn Thị Duệ."
Từng gian ở chùa Sùng Phúc thờ ai?,"Gian hậu cung có tượng Phật Quan Âm. Gian tiền đường thờ thần nàng Vi Đồ, chính là bà Nguyễn Thị Duệ."
Chùa Sùng Phúc được xây dựng từ vật liệu nào?,"Chùa được xây dựng bằng gạch, mái lợp ngói máng."
"Chùa Sùng Phúc có những gian, tòa nào?","Trong khuôn viên có chùa Sùng Phúc, hai miếu thờ và một bia đá. Chùa có gian tiền đường và gian hậu cung."
Chi tiết về lễ hội chùa Sùng Phúc?,"Lễ hội chùa Sùng Phúc được tổ chức vào ngày 15 đến hết ngày 16 tháng Giêng âm lịch hằng năm, thu hút đông đảo nhân dân địa phương trong tỉnh và du khách thập phương. Phần lễ bao gồm rước kiệu Quan âm Bồ Tát, kiệu Thành hoàng và dâng hương. Phần hội có các trò chơi dân gian như kéo co, đẩy gậy, múa rồng, múa lân, võ cổ truyền, tung còn, nhảy bao, hát Then, Hà Lều, Sli Giang…"
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Sùng Phúc?,"Nguyễn Thị Duệ đã vào chùa Sùng Phúc ẩn náu và giảng dạy kinh thư, truyền bá đạo lý nhà phật cho dân chúng."
Chùa Sùng Phúc có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Sùng Phúc là nơi Nguyễn Thị Duệ giảng dạy kinh thư, truyền bá đạo lý nhà phật cho dân chúng, có công lớn với nhà chùa và được nhân dân mến mộ kính phục. Lễ hội chùa thu hút đông đảo nhân dân địa phương và du khách thập phương."
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,Chùa Sùng Phúc là di tích lịch sử văn hóa cấp quốc gia.
Chùa Vân An tọa lạc tại vị trí nào?,"Chùa Vân An tọa lạc tại chân núi Vân Trung thuộc xóm Nà Chùa, thị trấn Bảo Lạc."
Chùa Vân An được xây dựng từ khi nào?,Chùa Vân An được xây dựng từ thời nhà Lê.
Chùa Vân An có kiến trúc gì đặc biệt?,"Chùa Vân An được xây dựng theo kiến trúc tiền thánh, hậu phật."
Chùa Vân An đạt di tích lịch sử cấp nào?,Chùa Vân An đã được công nhận di tích lịch sử văn hoá xếp hạng cấp tỉnh.
Chùa Vân An tổ chức lễ hội vào ngày nào?,Ngày 18/02 (tức ngày Mùng 9 tháng Giêng âm lịch).
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,Chùa Vân An.
Chùa Viên Minh có tên gọi khác là gì?,Chùa Viên Minh còn có tên gọi là chùa Ðà Quận.
Chùa Viên Minh tọa lạc tại vị trí nào?,"Chùa Viên Minh tọa lạc trên một gò đất rộng tại thôn Ðà Quận, xã Hưng Ðạo, Thành phố Cao Bằng."
Chùa Viên Minh được xây dựng từ khi nào?,"Tương truyền, chùa Viên Minh được xây dựng từ thời vua Lý Anh Tông (1138 - 1175)."
Chùa Viên Minh thờ ai?,Chùa Viên Minh được dựng lên để thờ Phật.
Chùa Viên Minh có kiến trúc gì đặc biệt?,"Chùa Viên Minh xưa có kiến trúc hình chữ ""Đinh"", hướng phía Tây Bắc, gồm: nhà đại bái (tiền đường), trung đường và phật điện dài 5 gian."
Chùa Viên Minh tổ chức lễ hội vào ngày nào?,Lễ hội chùa Viên Minh được tổ chức từ đêm mùng 8 đến ngày mùng 9 tháng Giêng âm lịch hằng năm.
"Chùa Viên Minh có những bảo vật, hiện vật quý giá nào?","Hiện vật trong chùa gồm: 3 pho tượng phật, một tượng phật bà Quan Thế âm bồ tát ngồi thiền, một tượng nghìn tay, nghìn mắt. Đặc biệt, trong chùa có hai quả chuông đồng cổ đúc từ năm 1611."
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,Chùa Viên Minh được Nhà nước xếp hạng Di tích lịch sử văn hóa cấp quốc gia ngày 4/9/1995 (thông tin này liên quan đến chuông đồng cổ trong chùa).
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,"Năm 2008, chùa Viên Minh được Nhà nước xếp hạng Di tích lịch sử văn hóa cấp tỉnh."
"Chùa Viên Minh có những gian, tòa nào?","Chùa Viên Minh xưa có: nhà đại bái (tiền đường), trung đường và phật điện dài 5 gian."
Chi tiết về lễ hội chùa Viên Minh?,"Lễ hội chùa Viên Minh được tổ chức từ đêm mùng 8 đến ngày mùng 9 tháng Giêng âm lịch hằng năm. Phần lễ dâng hương, cúng tế được tiến hành từ tối mùng 8; phần hội có những hoạt động phong phú, sôi nổi với các trò chơi dân gian cờ tướng, cờ người, kéo co, đẩy gậy và các hoạt động văn hóa, văn nghệ quần chúng sinh động vui tươi trong những ngày đầu xuân."
Chùa Đống Lân được xây dựng từ khi nào?,Chùa Đống Lân được kiến tạo từ thời Lê - Mạc.
Chùa Đống Lân có kiến trúc gì đặc biệt?,"Dưới thời nhà Mạc, chùa được xây theo hình chữ đinh, có hai bên hành lang và hậu đường, tăng phòng."
Chùa Đống Lân tổ chức lễ hội vào ngày nào?,Hội chùa vào ngày mùng 8 tháng Giêng âm lịch hằng năm.
Chùa Đống Lân đã qua bao nhiêu lần tu sửa?,"Chùa Đống Lân nhiều lần bị tàn phá, hư hại nặng, sau đó được tu sửa."
Chùa Đống Lân tọa lạc tại vị trí nào?,"Chùa Đống Lân tọa lạc ở xã Hưng Đạo (Thành phố) và nằm trên gò Đống Lân (tiếng Tày là Đoỏng Lân), ở phía tây bắc thành phố Cao Bằng."
Chùa Đống Lân thờ ai?,"Chùa Đống Lân được xây dựng để thờ Phật. Trước khi chùa được xây dựng, tại gò Đống Lân có đền thờ Trần Quý, Trần Kiên."
Từng gian ở chùa Đống Lân thờ ai?,"Gian giữa tiền đường đặt tượng phật quan âm nghìn mắt, nghìn tay. Gian bên phải là ban thờ Đức Thánh Trần Quý - Trần Kiên và đặt tượng Đức ông. Gian bên trái là ban thờ Thạch Sanh. Gian chính điện (gian tam bảo) có hai lớp bệ thờ, lớp cao nhất đặt 3 pho Tam thế tượng trưng cho chư Phật thuộc về 3 đời: quá khứ, hiện tại, vị lai. Lớp bệ thờ thứ hai có 3 pho tượng cùng dãy gọi là Di đà tam tôn."
Chùa Đống Lân được xây dựng từ vật liệu nào?,Mái chùa lợp ngói máng.
"Chùa Đống Lân có những gian, tòa nào?",Chùa gồm nhà thờ chính với 5 gian tiền đường và một gian chính điện. Ngoài ra còn có một nhà thờ tổ (3 gian).
Chi tiết về lễ hội chùa Đống Lân?,"Hội chùa vào ngày mùng 8 tháng Giêng âm lịch hằng năm với nhiều hoạt động: tụng kinh niệm Phật, xóc quẻ cầu phúc, cầu tài, thắp hương hái lộc, tổ chức các trò chơi dân gian…, thu hút khách thập phương đến trẩy hội đông vui."
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,Chùa Đống Lân được công nhận Di tích lịch sử văn hóa cấp tỉnh năm 1997.
Đền Bà Hoàng thờ ai?,"Đền Bà Hoàng thờ Minh Đức Hoàng Hậu, vợ của Nùng Tồn Phúc, mẹ của Nùng Trí Cao."
Đền Bà Hoàng tọa lạc tại vị trí nào?,"Đền Bà Hoàng thuộc phường Sông Bằng (khu Nà Cạn cũ), thành phố Cao Bằng."
Đền Bà Hoàng được xây dựng từ vật liệu nào?,"Hiện nay, Đền được xây bằng gạch, ba gian lợp ngói âm dương."
Đền Bà Hoàng có kiến trúc gì đặc biệt?,"Đền được xây bằng gạch, ba gian lợp ngói âm dương, mỗi gian rộng 3 m; hai đầu hồi trang trí đôi phượng hoàng dang rộng cánh bay hướng lên trời."
Đền Bà Hoàng tổ chức lễ hội vào ngày nào?,"Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch."
"Đền Bà Hoàng có những gian, tòa nào?","Đền có ba gian, gian giữa có một bệ thờ đặt tượng Bà Hoàng trùm khăn đỏ, phía trái đền dựng một gian bếp để phục vụ những ngày tế lễ. Mặt trước đền là khoảng sân rộng rãi."
Chi tiết về lễ hội đền Bà Hoàng?,"Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội vừa thể hiện lòng thành kính với Bà Hoàng Đại Vương, vừa mang tính chất cầu mùa, cầu phúc, mong bà ban cho cuộc sống an lành, may mắn. Để chuẩn bị cho ngày hội, nhân dân trong vùng tự giác đóng góp mỗi nhà một bơ gạo, ít tiền mua hương, hoa, tổ chức nghi lễ. Lễ vật thờ cúng gồm: mâm xôi, con lợn quay hoặc thủ lợn; đặc biệt có thêm một đoạn phèo non, sau thay bằng bánh chè lam cùng với hoa quả và 3 bông lau to, tượng trưng cho bông lúa được mùa."
Đền Bà Hoàng đạt di tích lịch sử cấp nào?,Đền Bà Hoàng là di tích lịch sử văn hóa cấp tỉnh.
Đền Bà Hoàng được công nhận di tích lịch sử cấp tỉnh vào ngày tháng năm nào?,Đền được Nhà nước công nhận Di tích lịch sử văn hóa cấp tỉnh ngày 4/11/2008.
Những câu chuyện liên quan tới Minh Đức Hoàng Hậu A Nùng?,"Minh Đức Hoàng Hậu A Nùng là người phụ nữ đôn hậu, mạnh mẽ, tài giỏi, mưu lược. Bà có công lớn nuôi dạy, rèn luyện võ nghệ cho con trai Nùng Trí Cao, sau này Trí Cao trở thành một dũng tướng miền biên ải, người anh hùng giúp nhà Lý dựng nên thành lũy trấn giữ biên cương, bảo vệ một vùng rộng lớn cương vực phía Bắc của lãnh thổ quốc gia. Bà là quân sư trực tiếp cho Trí Cao trong từng trận đánh và được nhà Lý mời làm cố vấn tướng lĩnh. Ngoài ra, bà còn dạy nhân dân trồng lúa, hoa màu, chăn nuôi gia súc, được dân chúng suy tôn là Thần gia súc."
Đền Dẻ Đoóng có tên gọi khác là gì?,Đền Dẻ Đoóng còn gọi là đền Giang Động.
Đền Dẻ Đoóng tọa lạc tại vị trí nào?,"Đền Dẻ Đoóng tọa lạc ngay trên vùng đất của làng Dẻ Đoóng, xã Hồng Việt (Hòa An)."
Đền Dẻ Đoóng thờ ai?,"Đền Dẻ Đoóng nguyên bản thờ thần đá theo quan niệm tín ngưỡng dân gian “vạn vật linh thiêng” của dân tộc Tày, Nùng Cao Bằng, về sau có thêm chức năng thờ phật, thờ mẫu."
"Đền Dẻ Đoóng có những gian, tòa nào?","Tổng thể kiến trúc của đền Dẻ Đoóng theo hình chữ “đinh”, gồm ba gian chạy dọc: gian ngoài cùng (gian chính điện, gian đại bái), gian giữa (gian trung đường), và gian trong cùng (gian chính điện hoặc hậu cung)."
Chi tiết về lễ hội đền Dẻ Đoóng?,"Lễ hội đền Dẻ Đoóng được tổ chức vào ngày 15 tháng Giêng âm lịch hằng năm, thu hút đông đảo nhân dân khắp nơi về trẩy hội, cầu phúc, cầu tài, cầu lộc, mong cho mưa thuận, gió hòa, mùa màng tươi tốt với các hoạt động văn hóa, văn nghệ, thể thao truyền thống dân gian, tưng bừng náo nhiệt ngày xuân."
Những sự kiện lịch sử quan trọng đã diễn ra tại đền Dẻ Đoóng?,"Trong thời kỳ kháng chiến chống thực dân Pháp, ngôi đền đã chứng kiến các hoạt động của Đảng bộ Cao Bằng, nhiều chiến sĩ cách mạng đã qua đây nương nhờ cửa đền và bàn bạc việc nước. Ngày 15/6/1945, nơi đây tổ chức mít tinh chào mừng thành lập chính quyền cách mạng của tỉnh."
Đền Dẻ Đoóng đạt di tích lịch sử cấp nào?,Đền Dẻ Đoóng được xếp hạng Di tích lịch sử văn hóa cấp tỉnh.
Đền Dẻ Đoóng được xếp hạng Di tích lịch sử văn hóa cấp tỉnh vào ngày tháng năm nào?,Đền Dẻ Đoóng được xếp hạng Di tích lịch sử văn hóa cấp tỉnh ngày 4/11/2008.
Đền Dẻ Đoóng được xây dựng từ vật liệu nào?,Tường của đền Dẻ Đoóng xây bằng gạch địa phương.
Đền Hoàng Lục tổ chức lễ hội vào ngày nào?,Ngày 28/2 âm lịch hằng năm.
Đền Hoàng Lục đạt di tích lịch sử cấp nào?,Di tích lịch sử văn hoá của tỉnh.
Đền Hoàng Lục tọa lạc tại vị trí nào?,Xã Đình Phong (Trùng Khánh).
Đền Hoàng Lục thờ ai?,Hoàng Lục.
Hoàng Lục là ai?,"Một thủ lĩnh, một vị tướng tài dưới thời nhà Lý, thế kỷ thứ 11."
Những sự kiện lịch sử quan trọng nào đã diễn ra liên quan đến Hoàng Lục?,"Hoàng Lục phối hợp với Nùng Trí Cao chủ động đem quân đánh vào đất Tống, gây thiệt hại lớn cho quân Tống trong cuộc kháng chiến chống quân xâm lược nhà Tống lần thứ nhất (khoảng năm 1053). Đến năm 1076, Hoàng Lục và Lưu Kỷ chỉ huy quân ta đánh trả quyết liệt quân Tống xâm lược Đại Việt lần thứ hai."
Đền Kỳ Sầm tọa lạc tại vị trí nào?,"Đền Kỳ Sầm tọa lạc trên một quả đồi thấp, sát chân núi Khau Sầm thuộc thôn Bản Ngần, xã Vĩnh Quang (Thành phố Cao Bằng)."
Đền Kỳ Sầm thờ ai?,"Đền Kỳ Sầm thờ nhân vật lịch sử, danh tướng Nùng Trí Cao (1025 - 1053)."
Đền Kỳ Sầm được xây dựng từ khi nào?,Đền Kỳ Sầm được nhân dân xây dựng từ lâu.
Đền Kỳ Sầm đã qua bao nhiêu lần tu sửa?,"Đền Kỳ Sầm trải qua trùng tu, tôn tạo nhiều lần."
"Đền Kỳ Sầm có quy mô như thế nào so với các đền, chùa, miếu khác trong tỉnh?","Đền Kỳ Sầm có quy mô lớn vào bậc nhất trong các loại hình đền, chùa, miếu trên địa bàn tỉnh."
Đền Kỳ Sầm đạt di tích lịch sử cấp nào?,Đền thờ Nùng Trí Cao được Nhà nước xếp hạng Di tích lịch sử cấp quốc gia năm 1993.
Nùng Trí Cao được mô tả như thế nào?,"Ngay từ thuở thiếu thời, Nùng Trí Cao là một cậu bé khỏe mạnh, đẹp trai, hiếu động, thông minh lạ thường, học giỏi chữ nghĩa, võ nghệ như bẩm sinh."
Những sự kiện lịch sử quan trọng nào liên quan đến Nùng Trí Cao?,"Năm 1038, Nùng Tồn Phúc chiếm hai châu Vũ Lặc và Quảng Nguyên, lập nên nước Trường Sinh. Năm 1039, vua Lý Thái Tông thân chinh dẹp nước Trường Sinh. Năm 1041, Nùng Trí Cao lập nên nước Đại Lịch. Năm 1052, Nùng Trí Cao dẫn 5.000 quân tiến đánh thành Ung Châu và Quảng Châu."
Đền Quan Triều thờ ai?,"Đền Quan Triều thờ vị tướng tài ba, trung nghĩa Dương Tự Minh và công chúa Hồng Liên, vợ của ông."
Đền Quan Triều tọa lạc tại vị trí nào?,"Đền Quan Triều ngự trên địa bàn xã Hưng Đạo (Thành phố), đối diện với chùa Viên Minh."
Đền Quan Triều có kiến trúc gì đặc biệt?,"Từ xa xưa, đền có kiến trúc mặt bằng hình chữ ""Nhị"", bao gồm: nhà bái đường và hậu cung."
Đền Quan Triều đã qua bao nhiêu lần tu sửa?,"Đền Quan Triều cũ đã mai một theo thời gian, chỉ còn lại dấu tích trên nền móng được xây bằng gạch vồ thời nhà Mạc. Năm 2011, tại vị trí đền Quan Triều cũ, nhân dân dựng một ngôi đền nhỏ bằng kinh phí xã hội hóa."
"Đền Quan Triều có những gian, tòa nào?","Đền Quan Triều bao gồm: nhà bái đường và hậu cung. Phía bên phải đền có một gian thờ nhỏ, thờ công chúa Hồng Liên."
Đền Quan Triều đạt di tích lịch sử cấp nào?,Đền Quan Triều được Nhà nước công nhận là Di tích lịch sử văn hóa cấp tỉnh năm 2008.
Những câu chuyện liên quan tới Dương Tự Minh?,"Dương Tự Minh là người có công lớn bảo vệ giang sơn thời nhà Lý, dẹp giặc Đàm Hữu Lượng, được vua Lý gả công chúa và phong chức châu mục. Ông là vị quan thanh liêm, chính trực, được nhân dân tôn sùng là Đức Thánh Đuổm."
Vị Đức thánh Đuổm được mô tả như thế nào?,"Dương Tự Minh là một thanh niên khôi ngô, tuấn tú, cao lớn, sức vóc hơn người, đặc biệt là yêu kính mẹ cha, làng, nước, thương quý dân lành. Ông là vị quan thanh liêm, chính trực dám đương đầu với những tên quan tham lộng hành."
Đền vua Lê tổ chức lễ hội vào ngày nào?,"Hằng năm, Lễ hội Đền vua Lê được tổ chức vào ngày 6 tháng Giêng âm lịch."
Đền vua Lê tọa lạc tại vị trí nào?,"Đền Vua Lê nằm ở phía Tây Bắc thành phố Cao Bằng, cách thành phố Cao Bằng khoảng hơn 10 km, thuộc làng Đền, xã Hoàng Tung (Hòa An)."
Đền vua Lê thờ ai?,"Đền thờ Vua Lê Thái Tổ, tương truyền trong đền thờ vọng thanh kiếm và hoàng bào của nhà Vua."
Đền vua Lê đạt di tích lịch sử cấp quốc gia năm nào?,"Năm 1995, đền vua Lê được Nhà nước xếp hạng Di tích Lịch sử văn hoá cấp Quốc gia."
