Question,Answer
"Đền Thắm có những gian, tòa nào?","Quần thể đền Thắm được chia làm nhiều phần, gồm đền chính, miếu cô Thắm và miếu Sơn Thần. Đền chính được chia làm ba gian, thờ Ngũ vị tôn ông, Bách Linh, Đức thánh Trần Hưng Đạo, mẫu Thượng Thiên, Phật Quan âm. Miếu thờ cô Thắm nằm kề ngay bên đền chính, về phía trái có kiến trúc bê tông cuốn vòm, trên bệ thờ là tượng cô Thắm mặc áo xanh, dưới bệ có đôi chim phượng tạc bằng đá."
Chi tiết về lễ hội đền Thắm?,"Lễ hội đền Thắm có các nghi thức như tắm trâu, nghinh thánh, dắt trâu vào đền làm lễ hiến tế trâu. Phần hội có các trò chơi vui khỏe và kéo dài đến hết ngày 15. Lễ hội phản ánh nét sinh hoạt tín ngưỡng đặc trưng của cư dân nông nghiệp trồng lúa."
Đền Thắm tổ chức lễ hội vào ngày nào?,"Đền Thắm tổ chức lễ hội vào các ngày 2/2, 2/4, 10/7 và 2/12 âm lịch. Người dân nô nức kéo về đền vào những ngày này. Du khách thập phương về đây lễ bái, cầu nguyện rất đông, nhất là dịp giêng hai."
Chi tiết về các lần tu sửa?,"Đền Bắc Lệ đã được xây dựng thành một ngôi nhà ba gian vào năm 1919. Ngôi đền được trùng tu lần thứ hai và công đức của nhiều người đã được ghi lại trong bia khắc năm Khải Định thứ 8 (1933). Năm 1940, đền được tu sửa lần thứ ba."
Đình Thánh có tên gọi khác là gì?,"Đình Thánh còn được người dân địa phương gọi là Đền ""Slấn Slánh"". Đây là ngôi đền lớn nhất tổng Phương Linh."
Đình Thánh tọa lạc tại vị trí nào?,"Đình Thánh nằm trên chân đồi (Đồn Điền) sau chợ cũ Phủ Thông, huyện Bạch Thông, tỉnh Bắc Kạn. Người dân địa phương thường gọi là Đền “Slấn Slánh”. Đây là ngôi đền lớn nhất tổng Phương Linh."
Đình Thánh thờ ai?,"Đình Thánh Phủ Thông thờ Thần Nông và một vị tướng quân triều đình có công dẹp loạn để yên dân đã bị tử trận tại địa bàn Phủ Thông. Đình Thổ Tang thờ danh tướng Lân Hổ, có công đánh giặc Nguyên Mông ở thế kỷ XIII. Các vị Đột Ngột Cao Sơn Thánh Vương, Cao Sơn Nông Cả Đại Vương, Cao Sơn Bảo Hưng Đại Vương cũng được thờ tại đình."
Đình Thánh tổ chức lễ hội vào ngày nào?,"Đình Thánh tổ chức lễ hội vào mùng 7 tháng giêng. Lễ hội Đền Thượng thường được tổ chức vào các ngày 13, 14 và ngày rằm tháng giêng Âm lịch. Vào sáng sớm mùng 7 tháng giêng tổ chức lễ tế Thành Hoàng ở Đình."
Chi tiết về lễ hội Đình Thánh?,"Đình Thánh Phủ Thông thờ Thần Nông và một vị tướng quân triều đình có công dẹp loạn. Lễ hội chính của đình bao gồm phần lễ trang nghiêm hướng về Đức thánh Trần và phần hội với các hoạt động văn nghệ, vũ hội dân gian và trò chơi truyền thống. Ngoài ra, còn có các hội thi như ""nhà nông đua tài"", ""đồ xôi"" và ""đội kèn pí lè""."
Những sự kiện lịch sử quan trọng đã diễn ra tại Đình Thánh?,"Đình Thánh Phủ Thông là nơi thờ tự một vị tướng quân triều đình có công dẹp loạn để yên dân đã bị tử trận tại địa bàn Phủ Thông. Thời loạn lạc giặc cỏ khoảng thế kỷ XVIII, có đám tàn quân của Lý Tam đã đóng quân tại đây. Đình còn là nơi ghi nhớ công lao của một vị tướng đã có công bảo vệ vững chắc vùng biên cương phía Bắc của Đại Việt và phát triển kinh tế phủ Phú Lương xưa."
"Ai là người sáng lập, đứng đầu đầu tiên của Đình Thánh?","Đình Thánh Phủ Thông thờ Thần Nông và một vị tướng quân triều đình có công dẹp loạn để yên dân đã bị tử trận tại địa bàn Phủ Thông. Đình Hiển Lễ thờ đức thánh tổ Hà Tân, vợ ông (La Lang Lương thị) cùng với con trai ông (Đức thánh Trường Sinh). Đức thánh Trường Sinh là người có công phò giúp vua Hùng và âm phù Hai Bà Trưng đánh giặc giúp nước, cứu dân."
Đình Thánh có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đình Thánh là nơi thờ tự linh thiêng, nơi gửi gắm tâm linh và là ngôi nhà chung của cộng đồng làng xóm. Đền Công Đồng được cho là rất linh ứng và thiêng liêng. Đình Thánh là ngôi đền lớn nhất tổng Phương Linh."
Chùa Phố Cũ tọa lạc tại vị trí nào?,"Chùa Phố Cũ tọa lạc giáp 3 mặt đường phố, nằm gần cuối đường Phố Cũ, phường Hợp Giang, Thành phố Cao Bằng. Chùa được dựng trên diện tích mặt bằng với quy mô khá lớn so với các chùa, miếu ở Cao Bằng."
Chùa Phố Cũ được xây dựng từ khi nào?,"Chùa Phố Cũ bắt đầu từ một ngôi miếu nhỏ được dựng lên vào thời nhà Nguyễn, khởi đầu từ vua Gia Long (1802 - 1820). Miếu được sửa sang, xây dựng lại theo phong cách mới và được gọi là chùa với chức năng thờ “Tiền thánh, hậu Phật”. Chùa Phố Cũ mang đậm nét dấu ấn kiến trúc nhà Nguyễn, gian tiền đường có ghi Thành Thái bát niên, gian trung đường ghi Bảo Đại nguyên niên."
Chùa Phố Cũ thờ ai?,"Chùa Phố Cũ thờ các tượng Phật như Phật A Di Đà, Phật Thích Ca Mâu Ni, A Nan Tôn Giả, Ca Diếp Tôn Giả và ba pho tượng ngồi xếp bằng trên các tòa sen nhiều cánh."
Từng gian ở chùa Phố Cũ thờ ai?,"Gian tiền đường có ghi Thành Thái bát niên, gian trung đường ghi Bảo Đại nguyên niên. Gian thờ chính của chùa thờ Tam Thế Phật, gồm 3 pho tượng ngồi xếp bằng trên các tòa sen nhiều cánh. Cấp thờ thứ hai thấp hơn có đức Phật A Di Đà; cấp thứ ba là các tượng phật Thích Ca Mâu Ni, A Nan Tôn Giả, Ca Diếp Tôn Giả."
"Chi tiết về các bảo vật, hiện vật?","Các di vật khảo cổ được tìm thấy bao gồm hàng nghìn tiêu bản hiện vật và hàng tấn mảnh gốm các loại. Di vật gỗ gồm có một cỗ ngai thờ sơn son thếp vàng cao 1,40 m, một cỗ kiệu bát cống, một cây quán tẩy cao 0,8m tạo dáng hình long cuốn thủy, bẩy cây nến phao, và một sập thờ bốn mặt được trang trí chạm thủng hoa lá. Các bảo vật quốc gia này là niềm tự hào của người dân xứ Tuyên."
Chi tiết về lễ hội chùa Phố Cũ?,"Lễ hội chùa Phố Cũ được tổ chức vào ngày 2/2 âm lịch hằng năm. Chùa Phố Cũ còn mang giá trị lịch sử cách mạng. Tại đây, ngày 22/8/1945, đông đảo nhân dân các dân tộc thị xã Cao Bằng tuần hành, thị uy, biểu dương lực lượng cách mạng trên các trục đường phố, sau đó hội tụ về sân chùa tổ chức cuộc mít tinh rầm rộ với quy mô lớn để làm lễ công bố ra mắt UBND lâm thời tỉnh Cao Bằng và thành lập UBND lâm thời Thị xã."
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Phố Cũ?,"Ngày 22/8/1945, đông đảo nhân dân các dân tộc thị xã Cao Bằng tuần hành, thị uy, biểu dương lực lượng cách mạng trên các trục đường phố, sau đó hội tụ về sân chùa tổ chức cuộc mít tinh rầm rộ với quy mô lớn để làm lễ công bố ra mắt UBND lâm thời tỉnh Cao Bằng và thành lập UBND lâm thời Thị xã. Đây là sự kiện chính trị trọng đại lật đổ tầng lớp thống trị tay sai, phong kiến, thực dân, giành chính quyền về tay nhân dân, chính quyền cách mạng chính thức ra đời. Chùa được Nhà nước xếp hạng di tích lịch sử văn hóa cấp tỉnh ngày 31/12/2002."
Chùa Phố Cũ có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Phố Cũ có giá trị văn hóa, tín ngưỡng đối với cộng đồng. Vào ngày 22/8/1945, chùa là nơi tập trung đông đảo nhân dân các dân tộc thị xã Cao Bằng để biểu dương lực lượng cách mạng. Lễ hội chùa Phố Cũ được tổ chức vào ngày 2/2 âm lịch hằng năm."
Chùa Phố Cũ được xếp hạng di tích lịch sử cấp nào?,Chùa Phố Cũ được Nhà nước xếp hạng di tích lịch sử văn hóa cấp tỉnh. Việc xếp hạng diễn ra vào ngày 31/12/2002.
Chùa Sùng Phúc có tên gọi khác là gì?,"Chùa Sùng Phúc còn có tên gọi khác là Sùng Phúc tự. Ban đầu, chùa có tên là Sùng Khánh tự. Đến năm 1782, chùa được đổi tên thành Sùng Phúc tự."
Chùa Sùng Phúc được xây dựng từ khi nào?,"Chùa Sùng Phúc được xây dựng từ thời vua Trần Nhân Tông thế kỷ XIII. Ban đầu, ngôi chùa có tên là chùa Sùng Khánh. Đến năm Cảnh Hưng thứ 43, chùa được di dời về dựng trước làng Huyền Du."
Chùa Sùng Phúc xây dựng vào thời đại nào?,"Chùa Sùng Phúc được xây dựng từ thời vua Trần Nhân Tông thế kỷ XIII. Chùa được xây dựng để làm nơi thờ Phật và các nhân vật có công trấn ải vùng biên giới. Năm Cảnh Hưng thứ 43, chùa được di dời về dựng trước làng Huyền Du như vị trí hiện nay."
Chùa Sùng Phúc có kiến trúc gì đặc biệt?,"Chùa Sùng Phúc được xây dựng từ thời vua Trần Nhân Tông thế kỷ XIII để làm nơi thờ Phật và các nhân vật có công trấn ải vùng biên giới. Ban đầu, ngôi chùa có tên là chùa Sùng Khánh được xây dựng trên đỉnh núi Pò Kiền. Đến năm Cảnh Hưng thứ 43, chùa được di dời về dựng trước làng Huyền Du."
Chùa Sùng Phúc tổ chức lễ hội vào ngày nào?,"Lễ hội chùa Sùng Phúc được tổ chức vào ngày 15 đến hết ngày 16 tháng Giêng âm lịch hằng năm. Lễ hội thu hút đông đảo nhân dân địa phương trong tỉnh và du khách thập phương. Mọi người nô nức du xuân, trẩy hội."
Chùa Sùng Phúc đã qua bao nhiêu lần tu sửa?,"Chùa Sùng Phúc đã được tu sửa vào năm Cảnh Hưng thứ 43 (1782) và năm Thành Thái Ất Tỵ năm 1905. Nội dung 2 tấm bia nêu khái quát lịch sử hình thành ngôi chùa và danh sách những địa phương, cá nhân có công đức xây dựng, tu sửa chùa. Chùa còn có 3 sắc phong của 3 đời vua triều Nguyễn, đó là Đồng Khánh, Duy Tân và Khải Định."
Chùa Sùng Phúc tọa lạc tại vị trí nào?,"Chùa Sùng Phúc thuộc làng Huyền Ru, thị trấn Thanh Nhật, huyện Hạ Lang. Chùa được xây dựng từ thời vua Trần Nhân Tông thế kỷ XIII. Chùa được xây dựng để thờ Phật và các nhân vật có công trấn ải vùng biên giới."
Chùa Sùng Phúc thờ ai?,"Chùa Sùng Phúc thờ Quan Âm Bồ tát ở hậu cung, bên ngoài thờ Thiên vương đại thần. Bên trái chùa thờ Thành hoàng Nguyễn Thành Vương, tức Nguyễn Đình Bá."
Từng gian ở chùa Sùng Phúc thờ ai?,"Chùa Sùng Phúc có lớp thứ 2 đặt pho tượng Thích ca mâu ni. Lớp thứ 3 chính giữa là toàn Cửu long (Thích ca sơ sinh), hai bên là Phổ hiền Bồ tát và Văn thủ Bồ tát. Bệ thờ phía bên trái là tượng Đức ông, bên phải đặt tượng Đức Thánh hiền."
Chùa Sùng Phúc được xây dựng từ vật liệu nào?,"Tôi xin lỗi, thông tin này không có trong tài liệu. Các tài liệu chỉ cung cấp thông tin về vị trí, lịch sử và các di tích được lưu giữ tại chùa Sùng Phúc."
"Chùa Sùng Phúc có những gian, tòa nào?",Chùa Sùng Phúc có gian bái đường và gian hậu cung. Gian bái đường đặt tượng Phật bà Quan Âm bằng đá trắng. Gian hậu cung có 3 bệ thờ với các tượng phật bằng đá trắng.
Chi tiết về lễ hội chùa Sùng Phúc?,"Lễ hội chùa Sùng Phúc được tổ chức vào ngày 15 đến hết ngày 16 tháng Giêng âm lịch hằng năm. Lễ hội thu hút đông đảo nhân dân địa phương trong tỉnh và du khách thập phương. Về phần lễ, sau khi chuẩn bị hoàn tất."
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Sùng Phúc?,"Chùa Sùng Phúc được xây dựng từ thời vua Trần Nhân Tông thế kỷ XIII để làm nơi thờ Phật và các nhân vật có công trấn ải vùng biên giới. Năm Cảnh Hưng thứ 43, chùa được di dời về dựng trước làng Huyền Du như vị trí hiện nay. Tại đây, nhân dân các dân tộc thị xã Cao Bằng (nay là Thành phố) tổ chức mít tinh thành lập Ủy ban Hành chính lâm thời của Thị xã và lễ ra mắt Ủy ban Hành chính lâm thời tỉnh Cao Bằng."
Chùa Sùng Phúc có ảnh hưởng như thế nào đến cộng đồng địa phương?,Chùa Sùng Phúc ở Tuyên Quang gắn bó với mảnh đất Yên Nguyên gần 1.000 năm qua. Chùa Sùng Khánh ở Hà Giang là một trong những điểm đến tâm linh nổi tiếng. Chùa Sùng Phúc ở Cao Bằng là nơi nhân dân tổ chức mít tinh thành lập Ủy ban Hành chính lâm thời của Thị xã.
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,"Chùa Sùng Khánh được công nhận là Di tích lịch sử cấp Quốc gia năm 1999. Chùa Làng được Bộ Văn hóa Thông tin (nay là Bộ Văn hóa, Thể thao và Du lịch) công nhận là di tích lịch sử văn hóa cấp quốc gia năm 1980. Bàn thờ Phật bằng đá tại chùa Xuân Lũng đã được công nhận là Bảo vật quốc gia."
Chùa Vân An tọa lạc tại vị trí nào?,"Chùa Vân An tọa lạc tại chân núi Vân Trung thuộc xóm Nà Chùa, xã Hồng Trị, thị trấn Bảo Lạc (Bảo Lạc). Chùa được xây dựng theo kiến trúc “tiền Thánh, hậu Phật”. Ngôi chùa được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2006."
Chùa Vân An được xây dựng từ khi nào?,"Chùa Vân An được xây dựng từ thời nhà Lê. Theo tài liệu ghi nhận lại thì ngôi chùa này được xây dựng từ thời Trần. Ngôi chánh điện được xây hoàn thành vào năm 1992, tam quan chùa được xây năm 2002."
Chùa Vân An có kiến trúc gì đặc biệt?,"Chùa Vân An được xây dựng theo kiến trúc ""tiền Thánh, hậu Phật"". Chùa tọa lạc tại chân núi Vân Trung thuộc xóm Nà Chùa, thị trấn Bảo Lạc. Ngôi chùa được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2006."
Chùa Vân An đạt di tích lịch sử cấp nào?,"Chùa Vân An được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2006. Chùa Vân An được xây dựng từ thời nhà Lê, tọa lạc tại chân núi Vân Trung thuộc xóm Nà Chùa, thị trấn Bảo Lạc. Chùa được xây dựng theo kiến trúc tiền thánh, hậu phật."
Chùa Vân An tổ chức lễ hội vào ngày nào?,"Chùa Vân An tổ chức lễ hội vào ngày 18/02 âm lịch, tức ngày Mùng 9 tháng Giêng. Lễ hội được tổ chức bởi UBND thị trấn Bảo Lạc, huyện Bảo Lạc. Mục đích của lễ hội là cầu cho mưa thuận gió hoà, cây cối tươi tốt, mùa màng bội thu."
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,Chùa Sùng Khánh được xếp hạng di tích lịch sử năm 1993. Chuông chùa Đà Quận được Nhà nước xếp hạng Di tích lịch sử văn hóa cấp quốc gia ngày 4/9/1995. Bàn thờ Phật bằng đá tại chùa Xuân Lũng đã được công nhận là Bảo vật quốc gia theo quyết định số 2198/QĐ-TTg ban hành ngày 25/12/2021 của Chính phủ.
Chùa Viên Minh có tên gọi khác là gì?,"Chùa Viên Minh còn có tên gọi khác là chùa Ðà Quận. Chùa tọa lạc tại thôn Ðà Quận, xã Hưng Ðạo, Thành phố Cao Bằng. Đây là một trong các ngôi chùa cổ nhất của Cao Bằng."
Chùa Viên Minh tọa lạc tại vị trí nào?,"Chùa Viên Minh tọa lạc tại thôn Ðà Quận, xã Hưng Ðạo, Thành phố Cao Bằng. Chùa nằm trên một gò đất rộng với cảnh trí bồng lai. Đây là một trong những ngôi chùa cổ nhất của Cao Bằng."
Chùa Viên Minh được xây dựng từ khi nào?,"Chùa Viên Minh được xây dựng từ thời vua Lý Anh Tông (1138 - 1175). Cuối thế kỷ XVI, nhà Mạc lên Cao Bằng đã quan tâm trùng tu, tôn tạo, xây dựng lại chùa trên nền đất xưa. Đến thời hậu Lê, chùa được trùng tu, mở rộng tiền đường, sửa sang phật điện."
Chùa Viên Minh thờ ai?,"Chùa Viên Minh được dựng lên để thờ Phật. Đối diện chùa là đền Quan Triều, thờ danh tướng Dương Tự Minh. Chùa và đền chung nhau một khuôn viên."
Chùa Viên Minh có kiến trúc gì đặc biệt?,"Chùa Viên Minh xưa có kiến trúc hình chữ ""Đinh"", hướng phía Tây Bắc. Chùa gồm nhà đại bái, hay còn gọi là tiền đường, bên trong nữa là trung đường và phật điện. Chùa tọa lạc trên một gò đất rộng, cảnh trí bồng lai tại thôn Ðà Quận, xã Hưng Ðạo."
Chùa Viên Minh tổ chức lễ hội vào ngày nào?,"Lễ dâng hương, cúng tế được tiến hành từ tối mùng 8 tháng Giêng âm lịch hằng năm. Phần hội có những hoạt động phong phú, sôi nổi với các trò chơi dân gian. Các hoạt động văn hóa, văn nghệ quần chúng sinh động vui tươi trong những ngày đầu xuân."
"Chùa Viên Minh có những bảo vật, hiện vật quý giá nào?","Chùa Viên Minh có 3 pho tượng phật, một tượng phật bà Quan Thế âm bồ tát ngồi thiền, một tượng nghìn tay. Ngoài ra, chùa còn có tòa cửu long với 9 con rồng vây quanh và bát hương lớn để dâng hương, tế lễ nơi cửa phật."
"Chùa Viên Minh có những gian, tòa nào?","Chùa Viên Minh có nhà đại bái (tiền đường), trung đường, phật điện và tòa cửu long. Tòa cửu long có 9 con rồng vây quanh."
Chi tiết về lễ hội chùa Viên Minh?,"Lễ hội chùa Viên Minh được tổ chức vào tháng Giêng âm lịch hàng năm. Phần lễ dâng hương, cúng tế được tiến hành từ tối mùng 8. Phần hội có các trò chơi dân gian như cờ tướng, cờ người, kéo co, đẩy gậy và các hoạt động văn hóa, văn nghệ quần chúng sinh động vui tươi trong những ngày đầu xuân."
Chùa Đống Lân được xây dựng từ khi nào?,Chùa Đống Lân được xây dựng từ thời nhà Lý (cuối thế kỷ XI). Chùa được kiến tạo từ thời Lê - Mạc. Chùa được công nhận Di tích lịch sử văn hóa cấp tỉnh năm 1997.
Chùa Đống Lân có kiến trúc gì đặc biệt?,"Chùa Đống Lân có cổng tam quan được xây dựng vững chãi, trang trọng với dòng chữ ""Từ bi"" và ""Hỷ xả"". Chùa gồm nhà thờ chính với 5 gian tiền đường và một gian chính điện, cùng với một nhà thờ tổ (3 gian). Mái chùa lợp ngói máng và có trang trí."
Chùa Đống Lân tổ chức lễ hội vào ngày nào?,"Tôi xin lỗi, thông tin này không có trong văn bản. Văn bản cung cấp thông tin về lịch sử và địa điểm của chùa Đống Lân. Nó cũng đề cập đến một số giả thuyết về nguồn gốc của tên ""Đống Lân""."
Chùa Đống Lân đã qua bao nhiêu lần tu sửa?,"Chùa Đống Lân được xây dựng từ thời Lê - Mạc và được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 1997. Đến thời hậu Lê, chùa Viên Minh được sửa sang tôn tạo và đúc chuông lớn, mở mang tiền đường, điện phật. Chùa Viên Minh được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2008."
Chùa Đống Lân tọa lạc tại vị trí nào?,"Chùa Đống Lân tọa lạc ở xã Hưng Đạo, thành phố Cao Bằng. Chùa nằm trên gò Đống Lân, ở phía tây bắc thành phố Cao Bằng."
Chùa Đống Lân thờ ai?,"Chùa Đống Lân thờ hai anh em Trần Quý, Trần Kiên. Người anh là Trần Quý khi mất được chôn cất tại gò Đống Lân. Trần Quý còn được gọi là Đống Lân Đại Vương, Trung đẳng thần."
Từng gian ở chùa Đống Lân thờ ai?,"Chùa Đống Lân thờ hai anh em Trần Quý, Trần Kiên. Nơi thờ Trần Quý - Trần Kiên được thờ riêng ở một ngôi miếu nhỏ sát hành lang phía bên phải chùa. Gian chính điện thờ phật."
Chùa Đống Lân được xây dựng từ vật liệu nào?,Chùa Đống Lân lợp ngói máng. Chùa có trang trí. Các hiện vật trong chùa được các phật tử cung tiến sau này.
"Chùa Đống Lân có những gian, tòa nào?",Chùa Đống Lân gồm nhà thờ chính với 5 gian tiền đường và một gian chính điện. Ngoài ra còn có một nhà thờ tổ (3 gian). Chùa Đống Lân hiện nay có khuôn viên khá rộng.
Chi tiết về lễ hội chùa Đống Lân?,"Tôi xin lỗi, đoạn văn không cung cấp thông tin chi tiết về lễ hội chùa Đống Lân."
Đền Bà Hoàng thờ ai?,"Đền Bà Hoàng thờ Minh Ðức Hoàng Hậu, vợ của Nùng Tồn Phúc, mẹ của Nùng Trí Cao. Đền Bà Hoàng còn là di tích lịch sử văn hóa thờ Thượng đẳng thần Bà Hoàng Đại Vương A Nùng. Bà là một nhân vật nổi tiếng trong lịch sử thế kỷ XI, người phụ nữ thao lược, tài ba, có công lớn trong thời nhà Lý."
Đền Bà Hoàng tọa lạc tại vị trí nào?,"Đền Bà Hoàng thuộc phường Sông Bằng (khu Nà Cạn cũ), thành phố Cao Bằng. Khi xưa, đền Bà Hoàng tọa lạc ven chân núi Kim Pha. Cạnh đó là núi Mã Phi và con suối nước trong vắt."
Đền Bà Hoàng được xây dựng từ vật liệu nào?,"Đền Bà Hoàng được xây bằng gạch, ba gian lợp ngói âm dương. Mỗi gian rộng 3 m; hai đầu hồi trang trí đôi phượng hoàng dang rộng cánh bay hướng lên trời. Gian giữa có một bệ thờ đặt tượng Bà Hoàng trùm khăn đỏ, phía trái đền dựng một gian bếp để phục vụ những ngày tế lễ."
Đền Bà Hoàng có kiến trúc gì đặc biệt?,"Đền Bà Hoàng được xây dựng theo kiểu chữ ""công"" với tiền tế 5 gian, hai mái bít đốc có cửa gỗ bức bàn, 1 gian ống và 3 gian hậu cung, có tạo gác lửng làm khám thờ thần. Kết cấu 6 bộ vì chồng rường giá chiêng, kỹ thuật nghiêm, cổ kính."
Đền Bà Hoàng tổ chức lễ hội vào ngày nào?,"Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội vừa thể hiện lòng thành kính với Bà Hoàng Đại Vương, vừa mang tính chất cầu mùa, cầu phúc, mong bà ban cho cuộc sống an lành, may mắn. Để chuẩn bị cho ngày hội, nhân dân trong vùng tự giác đóng góp mỗi nhà một bơ gạo, ít tiền mua hương, hoa, tổ chức nghi lễ."
"Đền Bà Hoàng có những gian, tòa nào?","Đền Bà Hoàng có 3 tòa kiến trúc bố cục theo kiểu chữ ""công"". Tiền tế của đền có 5 gian, hai mái bít đốc có cửa gỗ bức bàn. Đền có 1 gian ống và 3 gian hậu cung, có tạo gác lửng làm khám thờ thần."
Chi tiết về lễ hội đền Bà Hoàng?,"Lễ hội đền Bà Hoàng được tổ chức hai ngày trong năm, là ngày 15 tháng Giêng và ngày 5/5 âm lịch. Lễ hội vừa thể hiện lòng thành kính với Bà Hoàng Đại Vương, vừa mang tính chất cầu mùa, cầu phúc, mong bà ban cho cuộc sống an lành, may mắn. Để chuẩn bị cho ngày hội, nhân dân trong vùng tự giác đóng góp mỗi nhà một bơ gạo, ít tiền mua hương, hoa, tổ chức nghi lễ."
